step,time,intersection_id,total_queue_length,average_waiting_time,north_queue,south_queue,east_queue,west_queue,current_phase,signal_state,green_duration,throughput
50,250,1,10,14.240973218555716,5,5,0,0,east_west,GREEN,30,165
50,250,2,17,14.468705901860055,4,5,7,1,east_west,GREEN,30,321
50,250,3,24,14.46984218756883,13,7,4,0,east_west,GREEN,30,391
51,255,0,26,15.379796061180599,13,9,3,1,east_west,GREEN,30,486
51,255,1,12,13.951823774994505,6,6,0,0,east_west,GREEN,30,168
51,255,2,11,14.234818501433022,5,6,0,0,east_west,GREEN,30,330
51,255,3,22,14.231195818647231,14,8,0,0,east_west,GREEN,30,399
52,260,0,25,15.167455953020912,16,9,0,0,east_west,GREEN,30,494
52,260,1,14,13.951823774994505,6,8,0,0,east_west,GREEN,30,168
52,260,2,13,14.004234886485424,7,6,0,0,east_west,GREEN,30,335
52,260,3,28,14.231195818647231,16,12,0,0,east_west,GREEN,30,399
53,265,0,27,14.910053606943514,17,10,0,0,east_west,GREEN,30,502
53,265,1,16,13.771383323100967,7,9,0,0,east_west,GREEN,30,170
53,265,2,20,13.847504117254655,12,8,0,0,east_west,GREEN,30,339
53,265,3,31,13.975469893196536,17,14,0,0,east_west,GREEN,30,406
54,270,0,32,14.78748589461632,20,12,0,0,east_west,YELLOW,30,506
54,270,1,16,13.594752888318357,7,9,0,0,east_west,YELLOW,30,172
54,270,2,23,13.69289456722519,14,9,0,0,east_west,YELLOW,30,342
54,270,3,36,13.773087669075181,19,17,0,0,east_west,YELLOW,30,412
55,275,0,37,14.78748589461632,23,13,0,1,north_south,GREEN,30,506
55,275,1,20,13.594752888318357,8,12,0,0,north_south,GREEN,30,172
55,275,2,32,13.69289456722519,15,10,4,3,north_south,GREEN,30,342
55,275,3,42,13.773087669075181,21,17,2,2,north_south,GREEN,30,412
56,280,0,25,15.456170300895153,14,8,2,1,north_south,GREEN,30,526
56,280,1,7,14.87063641245972,0,6,1,0,north_south,GREEN,30,190
56,280,2,18,14.553730074675057,5,1,7,5,north_south,GREEN,30,362
56,280,3,29,14.812580754076919,12,10,3,4,north_south,GREEN,30,432
57,285,0,14,15.434173302858635,7,0,4,3,north_south,GREEN,30,545
57,285,1,4,14.484485230675531,0,0,3,1,north_south,GREEN,30,198
57,285,2,13,14.502424409176156,0,0,7,6,north_south,GREEN,30,371
57,285,3,17,15.036414341155474,5,2,4,6,north_south,GREEN,30,452
58,290,0,13,15.259707676730294,1,0,7,5,north_south,GREEN,30,556
58,290,1,7,14.420035204234495,0,0,3,4,north_south,GREEN,30,199
58,290,2,14,14.377260405099246,0,0,8,6,north_south,GREEN,30,375
58,290,3,14,14.711966795936243,0,0,7,7,north_south,GREEN,30,465
59,295,0,14,15.172019131393906,0,0,7,7,north_south,GREEN,30,560
59,295,1,8,14.297948633757247,0,0,3,5,north_south,GREEN,30,201
59,295,2,20,14.316703085728673,0,0,11,9,north_south,GREEN,30,377
59,295,3,17,14.614938147078327,0,0,8,9,north_south,GREEN,30,468
60,300,0,20,15.022990798351902,0,0,9,11,north_south,GREEN,30,566
60,300,1,9,14.184741086587437,0,0,4,5,north_south,GREEN,30,203
60,300,2,25,14.158389083788855,0,0,14,11,north_south,GREEN,30,383
60,300,3,24,14.468908431747543,0,0,11,13,north_south,GREEN,30,473
61,305,0,26,14.860745410881712,0,0,12,14,north_south,YELLOW,30,573
61,305,1,10,14.0794779286927,0,0,4,6,north_south,YELLOW,30,205
61,305,2,31,14.094077489585956,0,0,16,15,north_south,YELLOW,30,385
61,305,3,26,14.439018747788092,0,0,13,13,north_south,YELLOW,30,474
62,310,0,40,14.860745410881712,4,4,16,16,east_west,GREEN,30,573
62,310,1,14,14.0794779286927,0,1,6,7,east_west,GREEN,30,205
62,310,2,34,14.094077489585956,0,2,16,16,east_west,GREEN,30,385
62,310,3,37,14.439018747788092,3,3,15,16,east_west,GREEN,30,474
63,315,0,31,15.170319679269648,6,7,11,7,east_west,GREEN,30,593
63,315,1,3,14.222387285417845,1,2,0,0,east_west,GREEN,30,221
63,315,2,19,14.73792656239586,1,3,9,6,east_west,GREEN,30,405
63,315,3,31,14.969830723975562,6,6,10,9,east_west,GREEN,30,494
64,320,0,22,14.958056843082788,9,9,4,0,east_west,GREEN,30,612
64,320,1,6,14.079361280689714,2,4,0,0,east_west,GREEN,30,223
64,320,2,12,14.525478049810046,6,6,0,0,east_west,GREEN,30,422
64,320,3,18,14.743580528287477,8,10,0,0,east_west,GREEN,30,514
65,325,0,21,14.76644853958449,10,11,0,0,east_west,GREEN,30,621
65,325,1,6,13.621680258287178,2,4,0,0,east_west,GREEN,30,230
65,325,2,16,14.459651278156503,9,7,0,0,east_west,GREEN,30,424
65,325,3,21,14.657755207697988,10,11,0,0,east_west,GREEN,30,517
66,330,0,30,14.594890356632549,16,14,0,0,east_west,GREEN,30,628
66,330,1,7,13.560865874363328,2,5,0,0,east_west,GREEN,30,231
66,330,2,19,14.395865646709272,11,8,0,0,east_west,GREEN,30,426
66,330,3,23,14.573987506919305,12,11,0,0,east_west,GREEN,30,520
67,335,0,36,14.434203585713032,19,17,0,0,east_west,GREEN,30,635
67,335,1,11,13.44493845500849,2,9,0,0,east_west,GREEN,30,233
67,335,2,21,14.237873821976809,13,8,0,0,east_west,GREEN,30,430
67,335,3,29,14.489675382683856,13,16,0,0,east_west,GREEN,30,523
68,340,0,44,14.190517858894884,23,21,0,0,east_west,YELLOW,30,646
68,340,1,13,13.336036939856974,2,11,0,0,east_west,YELLOW,30,235
68,340,2,26,14.207657536989533,17,9,0,0,east_west,YELLOW,30,431
68,340,3,32,14.328780621245617,13,19,0,0,east_west,YELLOW,30,529
69,345,0,52,14.190517858894884,24,23,2,3,north_south,GREEN,30,646
69,345,1,17,13.336036939856974,4,13,0,0,north_south,GREEN,30,235
69,345,2,34,14.207657536989533,18,12,1,3,north_south,GREEN,30,431
69,345,3,43,14.328780621245617,15,20,6,2,north_south,GREEN,30,529
70,350,0,38,14.809811519149441,14,14,3,7,north_south,GREEN,30,666
70,350,1,8,13.640224828934507,0,6,1,1,north_south,GREEN,30,250
70,350,2,23,14.975965709633073,11,5,3,4,north_south,GREEN,30,451
70,350,3,32,15.082925509725781,9,13,7,3,north_south,GREEN,30,549
71,355,0,27,14.988009073991732,7,5,6,9,north_south,GREEN,30,686
71,355,1,3,13.479968418678096,0,0,1,2,north_south,GREEN,30,256
71,355,2,13,14.968098490294754,2,0,4,7,north_south,GREEN,30,466
71,355,3,21,15.066661599270294,3,4,9,5,north_south,GREEN,30,569
72,360,0,19,14.812823500491955,2,0,8,9,north_south,GREEN,30,704
72,360,1,5,13.479968418678096,0,0,1,4,north_south,GREEN,30,256
72,360,2,12,14.876232418063129,0,0,4,8,north_south,GREEN,30,471
72,360,3,23,14.945926657883179,0,0,14,9,north_south,GREEN,30,577
73,365,0,20,14.603520877003536,0,0,11,9,north_south,GREEN,30,715
73,365,1,7,13.479968418678096,0,0,1,6,north_south,GREEN,30,256
73,365,2,19,14.781374970595156,0,0,7,12,north_south,GREEN,30,475
73,365,3,25,14.868469392925913,0,0,14,11,north_south,GREEN,30,580
74,370,0,26,14.37651685579917,0,0,14,12,north_south,GREEN,30,727
74,370,1,10,13.429254364799485,0,0,4,6,north_south,GREEN,30,257
74,370,2,26,14.587314872201283,0,0,11,15,north_south,GREEN,30,483
74,370,3,29,14.794357066823142,0,0,16,13,north_south,GREEN,30,583
75,375,0,31,14.267988210252314,0,0,16,15,north_south,YELLOW,30,733
75,375,1,11,13.379808162267839,0,0,4,7,north_south,YELLOW,30,258
75,375,2,30,14.587314872201283,0,0,12,18,north_south,YELLOW,30,483
75,375,3,30,14.625891636761201,0,0,17,13,north_south,YELLOW,30,590
76,380,0,38,14.267988210252314,1,1,19,17,east_west,GREEN,30,733
76,380,1,19,13.379808162267839,2,4,5,8,east_west,GREEN,30,258
76,380,2,34,14.587314872201283,1,0,14,19,east_west,GREEN,30,483
76,380,3,36,14.625891636761201,1,1,17,17,east_west,GREEN,30,590
77,385,0,33,14.770050673636089,4,2,18,9,east_west,GREEN,30,753
77,385,1,7,13.639656647116324,2,5,0,0,east_west,GREEN,30,272
77,385,2,20,14.989559649909364,3,2,5,10,east_west,GREEN,30,503
77,385,3,24,15.222490484638822,2,1,8,13,east_west,GREEN,30,610
78,390,0,24,14.716838051908356,7,3,12,2,east_west,GREEN,30,773
78,390,1,8,13.489277859237538,2,6,0,0,east_west,GREEN,30,275
78,390,2,14,14.8789097980128,7,5,0,2,east_west,GREEN,30,518
78,390,3,11,15.191965996334503,5,2,0,4,east_west,GREEN,30,630
79,395,0,21,14.55309407847916,10,7,4,0,east_west,GREEN,30,788
79,395,1,11,13.443906563866243,4,7,0,0,east_west,GREEN,30,276
79,395,2,17,14.673844268323702,10,7,0,0,east_west,GREEN,30,524
79,395,3,12,15.052748868430205,7,5,0,0,east_west,GREEN,30,638
80,400,0,19,14.406573958507577,12,7,0,0,east_west,GREEN,30,798
80,400,1,13,13.345642555500634,5,8,0,0,east_west,GREEN,30,278
80,400,2,21,14.608976376245336,13,8,0,0,east_west,GREEN,30,526
80,400,3,17,14.982597420064682,9,8,0,0,east_west,GREEN,30,641
81,405,0,30,14.287501081282526,16,14,0,0,east_west,GREEN,30,805
81,405,1,14,13.19432676602695,5,9,0,0,east_west,GREEN,30,281
81,405,2,24,14.49252439667306,14,10,0,0,east_west,GREEN,30,530
81,405,3,20,14.936334524169723,11,9,0,0,east_west,GREEN,30,643
82,410,0,35,14.23977784434696,17,18,0,0,east_west,YELLOW,30,808
82,410,1,16,13.151209677419356,5,11,0,0,east_west,YELLOW,30,282
82,410,2,25,14.358683331563594,14,11,0,0,east_west,YELLOW,30,534
82,410,3,25,14.867684577655313,12,13,0,0,east_west,YELLOW,30,646
83,415,0,47,14.23977784434696,19,21,2,5,north_south,GREEN,30,808
83,415,1,20,13.151209677419356,5,12,3,0,north_south,GREEN,30,282
83,415,2,29,14.358683331563594,15,13,1,0,north_south,GREEN,30,534
83,415,3,35,14.867684577655313,14,16,2,3,north_south,GREEN,30,646
84,420,0,36,14.559086916397144,12,13,3,8,north_south,GREEN,30,828
84,420,1,9,13.875155472636816,0,4,4,1,north_south,GREEN,30,297
84,420,2,16,14.983268474997086,6,7,2,1,north_south,GREEN,30,554
84,420,3,23,15.18547815083298,4,7,4,8,north_south,GREEN,30,666
85,425,0,24,14.593284933877003,3,5,6,10,north_south,GREEN,30,848
85,425,1,5,13.741383542812255,0,0,4,1,north_south,GREEN,30,302
85,425,2,4,14.907089027297125,0,0,3,1,north_south,GREEN,30,570
85,425,3,13,15.031445317503008,0,0,4,9,north_south,GREEN,30,682
86,430,0,24,14.458242554920673,0,0,11,13,north_south,GREEN,30,861
86,430,1,5,13.698072139303482,0,0,4,1,north_south,GREEN,30,303
86,430,2,6,14.858876893910221,0,0,5,1,north_south,GREEN,30,572
86,430,3,17,14.967504740008215,0,0,5,12,north_south,GREEN,30,685
87,435,0,29,14.378593921236432,0,0,14,15,north_south,GREEN,30,866
87,435,1,7,13.4696121315522,0,0,5,2,north_south,GREEN,30,308
87,435,2,10,14.815261925665787,0,0,7,3,north_south,GREEN,30,574
87,435,3,18,14.904609039027386,0,0,6,12,north_south,GREEN,30,688
88,440,0,34,14.300749545747744,0,0,18,16,north_south,GREEN,30,871
88,440,1,10,13.4696121315522,0,0,6,4,north_south,GREEN,30,308
88,440,2,13,14.746626998113769,0,0,8,5,north_south,GREEN,30,577
88,440,3,21,14.78204340362741,0,0,6,15,north_south,GREEN,30,694
89,445,0,36,14.210256545234728,0,0,19,17,north_south,YELLOW,30,877
89,445,1,13,13.387346172997582,0,0,7,6,north_south,YELLOW,30,310
89,445,2,20,14.702516301269782,0,0,13,7,north_south,YELLOW,30,579
89,445,3,27,14.68316612054443,0,0,8,19,north_south,YELLOW,30,699
90,450,0,48,14.210256545234728,2,6,21,19,east_west,GREEN,30,877
90,450,1,17,13.387346172997582,1,0,7,9,east_west,GREEN,30,310
90,450,2,26,14.702516301269782,0,1,15,10,east_west,GREEN,30,579
90,450,3,31,14.68316612054443,2,0,9,20,east_west,GREEN,30,699
91,455,0,36,14.676789652672303,7,8,11,10,east_west,GREEN,30,897
91,455,1,4,13.691844965268112,2,1,0,1,east_west,GREEN,30,329
91,455,2,12,14.730458641026551,3,4,5,0,east_west,GREEN,30,599
91,455,3,25,15.055627423067554,6,5,2,12,east_west,GREEN,30,719
92,460,0,23,14.799754214271545,8,10,3,2,east_west,GREEN,30,917
92,460,1,6,13.66864594206909,4,2,0,0,east_west,GREEN,30,330
92,460,2,11,14.565667034199771,7,4,0,0,east_west,GREEN,30,609
92,460,3,19,14.999875394749434,6,7,0,6,east_west,GREEN,30,734
93,465,0,22,14.67971113110416,10,12,0,0,east_west,GREEN,30,927
93,465,1,6,13.63236428893961,4,2,0,0,east_west,GREEN,30,331
93,465,2,16,14.458717847470293,11,5,0,0,east_west,GREEN,30,613
93,465,3,19,14.762576702461148,9,10,0,0,east_west,GREEN,30,748
